word
4k3oos92am
a
à
afirma
afirmou
agora
aí
ainda
além
algo
alguém
algum
alguma
algumas
alguns
ali
ano
anos
antes
ao
aos
após
aquela
aquelas
aquele
aqueles
aqui
aquilo
área
as
às
assim
até
através
bem
breve
cá
cada
cedo
cento
cima
cinco
co
co 
coisa
coisas
com
como
conselho
contudo
da
dá
dão
daquela
daquelas
daquele
daqueles
dar
das
de
debaixo
dela
delas
dele
deles
dentro
depois
desde
dessa
dessas
desse
desses
desta
destas
deste
destes
dia
diante
dias
disse
disso
disto
dito
diz
dizem
dizer
do
dos
e
é
ela
elas
ele
eles
em
embora
enquanto
entre
er
era
eram
éramos
és
essa
essas
esse
esses
esta
está
estamos
estão
estar
estas
estás
estava
estavam
estávamos
este
esteja
estejam
estejamos
estes
esteve
estive
estivemos
estiver
estivera
estiveram
estivéramos
estiverem
estivermos
estivesse
estivessem
estivéssemos
estiveste
estivestes
estou
estup
etc
eu
exemplo
faço
falta
favor
faz
fazeis
fazem
fazemos
fazendo
fazer
fazes
feita
feitas
feito
feitos
fez
foi
foi
fomos
for
fora
foram
foram
fôramos
forem
forma
formos
fosse
fosse
fossem
fôssemos
foste
fostes
fui
há
haja
hajam
havemos
haver
haverá
haverão
haveria
haveriam
haveríamos
havia
hei
hei
hoje
hora
horas
houve
houvemos
houvera
houveram
houvéramos
houvesse
houvessem
houvéssemos
http
https
isso
isto
já
la
lá
lado
lhe
lhes
lo
local
logo
longe
lugar
mas
me
mês
meses
meu
meus
mil
minha
minhas
momento
muita
muitas
muito
muitos
na
naquela
naquelas
naquele
naqueles
nas
nessa
nessas
nesse
nesses
nesta
nestas
neste
nestes
nível
no
nome
nos
nós
nossa
nossas
nosso
nossos
nove
num
numa
número
o
obra
onde
ontem
os
ou
outra
outras
outro
outros
para
parece
parte
partir
pela
pelas
pelo
pelos
per
perante
perto
põe
põem
pois
pontos
por
porém
porque
porquê
posição
possível
possivelmente
posso
pra
primeira
primeiras
primeiro
primeiros
própria
próprias
próprio
próprios
próxima
próximas
próximo
próximos
pt
pude
pude
puderam
quais
qual
quando
quanto
quantos
que
quê
quem
quer
quereis
querem
queremos
queres
quero
questão
rt
sabe
sabem
são
se
segunda
segundo
sei
seja
sejam
sejamos
sendo
ser
será
serão
serei
seremos
seria
seriam
seríamos
seu
seus
si
sido
sistema
só
sob
sobre
sois
somos
sou
sua
suas
tal
te
tem
tem
tém
têm
temos
tendes
tendo
tenha
tenham
tenhamos
tenho
tens
ter
terá
terão
terei
teremos
teria
teriam
teríamos
teu
teus
teve
ti
tido
tinha
tinha
tinham
tínhamos
tive
tivemos
tiver
tivera
tiveram
tivéramos
tiverem
tivermos
tivesse
tivessem
tivéssemos
tiveste
tivestes
toda
todas
todavia
todo
todos
tu
tua
tua
tuas
um
uma
umas
uns
usaram
vai
vais
vão
vc
vem
vêm
vendo
vens
ver
vez
vezes
vindo
vir
viu
você
vocês
vos
vós
vossa
vossas
vosso
vossos
